Country Name,Value,Indicator Name,Year
Afghanistan,,Bank nonperforming loans to total gross loans (%),1997
Afghanistan,,Domestic credit to private sector by banks (% of GDP),1997
Afghanistan,,GDP growth (annual %),1997
Afghanistan,,Lending interest rate (%),1997
Afghanistan,,Real interest rate (%),1997
Albania,,Bank nonperforming loans to total gross loans (%),1997
Albania,3.92591257434107,Domestic credit to private sector by banks (% of GDP),1997
Albania,-10.9199840851035,GDP growth (annual %),1997
Albania,32.7083333333333,Lending interest rate (%),1997
Albania,19.2994542648082,Real interest rate (%),1997
Algeria,,Bank nonperforming loans to total gross loans (%),1997
Algeria,3.90461130348484,Domestic credit to private sector by banks (% of GDP),1997
Algeria,1.09999993688672,GDP growth (annual %),1997
Algeria,15.708333333333302,Lending interest rate (%),1997
Algeria,8.136645380005259,Real interest rate (%),1997
American Samoa,,Bank nonperforming loans to total gross loans (%),1997
American Samoa,,Domestic credit to private sector by banks (% of GDP),1997
American Samoa,,GDP growth (annual %),1997
American Samoa,,Lending interest rate (%),1997
American Samoa,,Real interest rate (%),1997
Angola,,Bank nonperforming loans to total gross loans (%),1997
Angola,5.169693141567031,Domestic credit to private sector by banks (% of GDP),1997
Angola,7.27427735460373,GDP growth (annual %),1997
Angola,37.75,Lending interest rate (%),1997
Angola,-29.522706549011,Real interest rate (%),1997
Antigua and Barbuda,,Bank nonperforming loans to total gross loans (%),1997
Antigua and Barbuda,55.886210455413504,Domestic credit to private sector by banks (% of GDP),1997
Antigua and Barbuda,5.471131931738,GDP growth (annual %),1997
Antigua and Barbuda,11.982586110003801,Lending interest rate (%),1997
Antigua and Barbuda,9.972965052634699,Real interest rate (%),1997
Argentina,,Bank nonperforming loans to total gross loans (%),1997
Argentina,21.5569355901645,Domestic credit to private sector by banks (% of GDP),1997
Argentina,8.1110467707457,GDP growth (annual %),1997
Argentina,,Lending interest rate (%),1997
Argentina,,Real interest rate (%),1997
Armenia,,Bank nonperforming loans to total gross loans (%),1997
Armenia,6.02810910850021,Domestic credit to private sector by banks (% of GDP),1997
Armenia,3.3210796982687203,GDP growth (annual %),1997
Armenia,54.2275,Lending interest rate (%),1997
Armenia,30.994349399078498,Real interest rate (%),1997
Aruba,,Bank nonperforming loans to total gross loans (%),1997
Aruba,43.23093305326421,Domestic credit to private sector by banks (% of GDP),1997
Aruba,7.04687397800629,GDP growth (annual %),1997
Aruba,10.25,Lending interest rate (%),1997
Aruba,6.3105680656522,Real interest rate (%),1997
Australia,,Bank nonperforming loans to total gross loans (%),1997
Australia,75.50509747141591,Domestic credit to private sector by banks (% of GDP),1997
Australia,3.9664966442952903,GDP growth (annual %),1997
Australia,7.16666666666667,Lending interest rate (%),1997
Australia,5.8611143926655105,Real interest rate (%),1997
Austria,,Bank nonperforming loans to total gross loans (%),1997
Austria,,Domestic credit to private sector by banks (% of GDP),1997
Austria,2.09359938952392,GDP growth (annual %),1997
Austria,,Lending interest rate (%),1997
Austria,,Real interest rate (%),1997
Azerbaijan,,Bank nonperforming loans to total gross loans (%),1997
Azerbaijan,2.44947378019821,Domestic credit to private sector by banks (% of GDP),1997
Azerbaijan,5.8000000123296,GDP growth (annual %),1997
Azerbaijan,,Lending interest rate (%),1997
Azerbaijan,,Real interest rate (%),1997
"Bahamas, The",,Bank nonperforming loans to total gross loans (%),1997
"Bahamas, The",39.2928544807939,Domestic credit to private sector by banks (% of GDP),1997
"Bahamas, The",2.0622396342225398,GDP growth (annual %),1997
"Bahamas, The",6.75,Lending interest rate (%),1997
"Bahamas, The",-37.9053386286309,Real interest rate (%),1997
Bangladesh,,Bank nonperforming loans to total gross loans (%),1997
Bangladesh,19.9866312756307,Domestic credit to private sector by banks (% of GDP),1997
Bangladesh,4.489896497356309,GDP growth (annual %),1997
Bangladesh,14.0,Lending interest rate (%),1997
Bangladesh,9.826343913229051,Real interest rate (%),1997
Barbados,,Bank nonperforming loans to total gross loans (%),1997
Barbados,44.196815920397995,Domestic credit to private sector by banks (% of GDP),1997
Barbados,4.74010234311876,GDP growth (annual %),1997
Barbados,9.83333333333333,Lending interest rate (%),1997
Barbados,8.83542297490018,Real interest rate (%),1997
Belarus,,Bank nonperforming loans to total gross loans (%),1997
Belarus,8.25781312869722,Domestic credit to private sector by banks (% of GDP),1997
Belarus,11.4000054053548,GDP growth (annual %),1997
Belarus,31.8,Lending interest rate (%),1997
Belarus,-23.215656000026,Real interest rate (%),1997
Belgium,,Bank nonperforming loans to total gross loans (%),1997
Belgium,,Domestic credit to private sector by banks (% of GDP),1997
Belgium,3.7936448613597404,GDP growth (annual %),1997
Belgium,,Lending interest rate (%),1997
Belgium,,Real interest rate (%),1997
Belize,,Bank nonperforming loans to total gross loans (%),1997
Belize,41.2667091895509,Domestic credit to private sector by banks (% of GDP),1997
Belize,3.5446711492693903,GDP growth (annual %),1997
Belize,16.2916666666667,Lending interest rate (%),1997
Belize,18.0342077118904,Real interest rate (%),1997
Benin,,Bank nonperforming loans to total gross loans (%),1997
Benin,5.4152829894463395,Domestic credit to private sector by banks (% of GDP),1997
Benin,5.7346883767269095,GDP growth (annual %),1997
Benin,,Lending interest rate (%),1997
Benin,,Real interest rate (%),1997
Bermuda,,Bank nonperforming loans to total gross loans (%),1997
Bermuda,,Domestic credit to private sector by banks (% of GDP),1997
Bermuda,4.60000000000198,GDP growth (annual %),1997
Bermuda,,Lending interest rate (%),1997
Bermuda,,Real interest rate (%),1997
Bhutan,,Bank nonperforming loans to total gross loans (%),1997
Bhutan,11.080531699960801,Domestic credit to private sector by banks (% of GDP),1997
Bhutan,5.373838728912769,GDP growth (annual %),1997
Bhutan,16.0,Lending interest rate (%),1997
Bhutan,3.1244968429529907,Real interest rate (%),1997
Bolivia,,Bank nonperforming loans to total gross loans (%),1997
Bolivia,58.2697996411764,Domestic credit to private sector by banks (% of GDP),1997
Bolivia,4.95420874299724,GDP growth (annual %),1997
Bolivia,50.05,Lending interest rate (%),1997
Bolivia,41.951600787200604,Real interest rate (%),1997
Botswana,,Bank nonperforming loans to total gross loans (%),1997
Botswana,9.6855105359072,Domestic credit to private sector by banks (% of GDP),1997
Botswana,8.32589089842865,GDP growth (annual %),1997
Botswana,13.9466666666667,Lending interest rate (%),1997
Botswana,8.53034221162933,Real interest rate (%),1997
Brazil,,Bank nonperforming loans to total gross loans (%),1997
Brazil,40.7413231935523,Domestic credit to private sector by banks (% of GDP),1997
Brazil,3.3948459848441703,GDP growth (annual %),1997
Brazil,78.1933333333333,Lending interest rate (%),1997
Brazil,65.40884497725939,Real interest rate (%),1997
Brunei Darussalam,,Bank nonperforming loans to total gross loans (%),1997
Brunei Darussalam,,Domestic credit to private sector by banks (% of GDP),1997
Brunei Darussalam,-1.47117157218256,GDP growth (annual %),1997
Brunei Darussalam,,Lending interest rate (%),1997
Brunei Darussalam,,Real interest rate (%),1997
Bulgaria,,Bank nonperforming loans to total gross loans (%),1997
Bulgaria,8.54265186387582,Domestic credit to private sector by banks (% of GDP),1997
Bulgaria,-14.192814804139399,GDP growth (annual %),1997
Bulgaria,213.01841666666698,Lending interest rate (%),1997
Bulgaria,-69.13417062463101,Real interest rate (%),1997
Burkina Faso,,Bank nonperforming loans to total gross loans (%),1997
Burkina Faso,11.4243756982914,Domestic credit to private sector by banks (% of GDP),1997
Burkina Faso,6.31683473498383,GDP growth (annual %),1997
Burkina Faso,,Lending interest rate (%),1997
Burkina Faso,,Real interest rate (%),1997
Burundi,,Bank nonperforming loans to total gross loans (%),1997
Burundi,11.5273045507585,Domestic credit to private sector by banks (% of GDP),1997
Burundi,-1.58999999685827,GDP growth (annual %),1997
Burundi,,Lending interest rate (%),1997
Burundi,,Real interest rate (%),1997
Cambodia,,Bank nonperforming loans to total gross loans (%),1997
Cambodia,6.27663241223271,Domestic credit to private sector by banks (% of GDP),1997
Cambodia,4.0066210731153395,GDP growth (annual %),1997
Cambodia,,Lending interest rate (%),1997
Cambodia,,Real interest rate (%),1997
Cameroon,,Bank nonperforming loans to total gross loans (%),1997
Cameroon,5.9387950480382505,Domestic credit to private sector by banks (% of GDP),1997
Cameroon,5.23132070868648,GDP growth (annual %),1997
Cameroon,,Lending interest rate (%),1997
Cameroon,,Real interest rate (%),1997
Canada,,Bank nonperforming loans to total gross loans (%),1997
Canada,81.8014160858502,Domestic credit to private sector by banks (% of GDP),1997
Canada,4.28004008396165,GDP growth (annual %),1997
Canada,4.95833333333333,Lending interest rate (%),1997
Canada,3.77439403568673,Real interest rate (%),1997
Chad,,Bank nonperforming loans to total gross loans (%),1997
Chad,3.23429328606989,Domestic credit to private sector by banks (% of GDP),1997
Chad,5.65339232788355,GDP growth (annual %),1997
Chad,,Lending interest rate (%),1997
Chad,,Real interest rate (%),1997
Chile,,Bank nonperforming loans to total gross loans (%),1997
Chile,53.3282587093447,Domestic credit to private sector by banks (% of GDP),1997
Chile,7.427889807890151,GDP growth (annual %),1997
Chile,15.670265400513001,Lending interest rate (%),1997
Chile,12.2340714051335,Real interest rate (%),1997
Colombia,,Bank nonperforming loans to total gross loans (%),1997
Colombia,36.370445236567605,Domestic credit to private sector by banks (% of GDP),1997
Colombia,3.43029367827623,GDP growth (annual %),1997
Colombia,34.2241666666667,Lending interest rate (%),1997
Colombia,14.8787535216014,Real interest rate (%),1997
Comoros,,Bank nonperforming loans to total gross loans (%),1997
Comoros,5.301657943398,Domestic credit to private sector by banks (% of GDP),1997
Comoros,4.03015366772979,GDP growth (annual %),1997
Comoros,,Lending interest rate (%),1997
Comoros,,Real interest rate (%),1997
Costa Rica,,Bank nonperforming loans to total gross loans (%),1997
Costa Rica,14.8737923550475,Domestic credit to private sector by banks (% of GDP),1997
Costa Rica,5.564945546573809,GDP growth (annual %),1997
Costa Rica,22.4766666666667,Lending interest rate (%),1997
Costa Rica,6.86794660324713,Real interest rate (%),1997
Croatia,,Bank nonperforming loans to total gross loans (%),1997
Croatia,31.3696924333152,Domestic credit to private sector by banks (% of GDP),1997
Croatia,6.752751993397711,GDP growth (annual %),1997
Croatia,15.4675,Lending interest rate (%),1997
Croatia,8.07136571248733,Real interest rate (%),1997
Cuba,,Bank nonperforming loans to total gross loans (%),1997
Cuba,,Domestic credit to private sector by banks (% of GDP),1997
Cuba,2.7834250417431403,GDP growth (annual %),1997
Cuba,,Lending interest rate (%),1997
Cuba,,Real interest rate (%),1997
Cyprus,,Bank nonperforming loans to total gross loans (%),1997
Cyprus,,Domestic credit to private sector by banks (% of GDP),1997
Cyprus,2.64094645342348,GDP growth (annual %),1997
Cyprus,,Lending interest rate (%),1997
Cyprus,,Real interest rate (%),1997
Czech Republic,,Bank nonperforming loans to total gross loans (%),1997
Czech Republic,63.837246167787704,Domestic credit to private sector by banks (% of GDP),1997
Czech Republic,-0.5946590867019671,GDP growth (annual %),1997
Czech Republic,13.204166666666698,Lending interest rate (%),1997
Czech Republic,4.46582415795392,Real interest rate (%),1997
Denmark,,Bank nonperforming loans to total gross loans (%),1997
Denmark,31.2122290136893,Domestic credit to private sector by banks (% of GDP),1997
Denmark,3.2608901972317703,GDP growth (annual %),1997
Denmark,,Lending interest rate (%),1997
Denmark,,Real interest rate (%),1997
Djibouti,,Bank nonperforming loans to total gross loans (%),1997
Djibouti,43.0610280290141,Domestic credit to private sector by banks (% of GDP),1997
Djibouti,,GDP growth (annual %),1997
Djibouti,,Lending interest rate (%),1997
Djibouti,,Real interest rate (%),1997
Dominica,,Bank nonperforming loans to total gross loans (%),1997
Dominica,47.226474774554994,Domestic credit to private sector by banks (% of GDP),1997
Dominica,2.1852996727126297,GDP growth (annual %),1997
Dominica,11.1730597100209,Lending interest rate (%),1997
Dominica,9.58948047559881,Real interest rate (%),1997
Dominican Republic,,Bank nonperforming loans to total gross loans (%),1997
Dominican Republic,21.6603539496593,Domestic credit to private sector by banks (% of GDP),1997
Dominican Republic,8.885269065903929,GDP growth (annual %),1997
Dominican Republic,21.0066666666667,Lending interest rate (%),1997
Dominican Republic,10.5575085815306,Real interest rate (%),1997
Ecuador,,Bank nonperforming loans to total gross loans (%),1997
Ecuador,23.9468761728198,Domestic credit to private sector by banks (% of GDP),1997
Ecuador,4.32786476432231,GDP growth (annual %),1997
Ecuador,,Lending interest rate (%),1997
Ecuador,,Real interest rate (%),1997
El Salvador,,Bank nonperforming loans to total gross loans (%),1997
El Salvador,43.8943073260727,Domestic credit to private sector by banks (% of GDP),1997
El Salvador,3.1349395884716804,GDP growth (annual %),1997
El Salvador,,Lending interest rate (%),1997
El Salvador,,Real interest rate (%),1997
Equatorial Guinea,,Bank nonperforming loans to total gross loans (%),1997
Equatorial Guinea,4.65452142589506,Domestic credit to private sector by banks (% of GDP),1997
Equatorial Guinea,149.972963487965,GDP growth (annual %),1997
Equatorial Guinea,,Lending interest rate (%),1997
Equatorial Guinea,,Real interest rate (%),1997
Eritrea,,Bank nonperforming loans to total gross loans (%),1997
Eritrea,33.1569438318638,Domestic credit to private sector by banks (% of GDP),1997
Eritrea,7.908684909278519,GDP growth (annual %),1997
Eritrea,,Lending interest rate (%),1997
Eritrea,,Real interest rate (%),1997
Estonia,,Bank nonperforming loans to total gross loans (%),1997
Estonia,,Domestic credit to private sector by banks (% of GDP),1997
Estonia,13.0465358222905,GDP growth (annual %),1997
Estonia,,Lending interest rate (%),1997
Estonia,,Real interest rate (%),1997
Ethiopia,,Bank nonperforming loans to total gross loans (%),1997
Ethiopia,14.3454137961726,Domestic credit to private sector by banks (% of GDP),1997
Ethiopia,3.13390685087596,GDP growth (annual %),1997
Ethiopia,10.5,Lending interest rate (%),1997
Ethiopia,10.272116536897801,Real interest rate (%),1997
Fiji,,Bank nonperforming loans to total gross loans (%),1997
Fiji,33.539446263769,Domestic credit to private sector by banks (% of GDP),1997
Fiji,-2.1999993686925,GDP growth (annual %),1997
Fiji,11.0266666666667,Lending interest rate (%),1997
Fiji,7.323354548095679,Real interest rate (%),1997
Finland,,Bank nonperforming loans to total gross loans (%),1997
Finland,,Domestic credit to private sector by banks (% of GDP),1997
Finland,6.3342350034965005,GDP growth (annual %),1997
Finland,,Lending interest rate (%),1997
Finland,,Real interest rate (%),1997
France,,Bank nonperforming loans to total gross loans (%),1997
France,,Domestic credit to private sector by banks (% of GDP),1997
France,2.3362964980607797,GDP growth (annual %),1997
France,,Lending interest rate (%),1997
France,,Real interest rate (%),1997
French Polynesia,,Bank nonperforming loans to total gross loans (%),1997
French Polynesia,,Domestic credit to private sector by banks (% of GDP),1997
French Polynesia,1.90000414548467,GDP growth (annual %),1997
French Polynesia,,Lending interest rate (%),1997
French Polynesia,,Real interest rate (%),1997
Gabon,,Bank nonperforming loans to total gross loans (%),1997
Gabon,8.68058280531343,Domestic credit to private sector by banks (% of GDP),1997
Gabon,5.73836739483843,GDP growth (annual %),1997
Gabon,,Lending interest rate (%),1997
Gabon,,Real interest rate (%),1997
"Gambia, The",,Bank nonperforming loans to total gross loans (%),1997
"Gambia, The",5.1878726358847,Domestic credit to private sector by banks (% of GDP),1997
"Gambia, The",4.899999109996809,GDP growth (annual %),1997
"Gambia, The",25.5,Lending interest rate (%),1997
"Gambia, The",33.4667922576171,Real interest rate (%),1997
Georgia,,Bank nonperforming loans to total gross loans (%),1997
Georgia,3.84339941601352,Domestic credit to private sector by banks (% of GDP),1997
Georgia,10.5190413689115,GDP growth (annual %),1997
Georgia,,Lending interest rate (%),1997
Georgia,,Real interest rate (%),1997
Germany,,Bank nonperforming loans to total gross loans (%),1997
Germany,,Domestic credit to private sector by banks (% of GDP),1997
Germany,1.7836372384922998,GDP growth (annual %),1997
Germany,,Lending interest rate (%),1997
Germany,,Real interest rate (%),1997
Ghana,,Bank nonperforming loans to total gross loans (%),1997
Ghana,8.19509402411892,Domestic credit to private sector by banks (% of GDP),1997
Ghana,4.19635745801085,GDP growth (annual %),1997
Ghana,,Lending interest rate (%),1997
Ghana,,Real interest rate (%),1997
Gibraltar,,Bank nonperforming loans to total gross loans (%),1997
Gibraltar,,Domestic credit to private sector by banks (% of GDP),1997
Gibraltar,,GDP growth (annual %),1997
Gibraltar,,Lending interest rate (%),1997
Gibraltar,,Real interest rate (%),1997
Greece,,Bank nonperforming loans to total gross loans (%),1997
Greece,,Domestic credit to private sector by banks (% of GDP),1997
Greece,4.48419908217453,GDP growth (annual %),1997
Greece,,Lending interest rate (%),1997
Greece,,Real interest rate (%),1997
Greenland,,Bank nonperforming loans to total gross loans (%),1997
Greenland,,Domestic credit to private sector by banks (% of GDP),1997
Greenland,1.46892638096972,GDP growth (annual %),1997
Greenland,,Lending interest rate (%),1997
Greenland,,Real interest rate (%),1997
Grenada,,Bank nonperforming loans to total gross loans (%),1997
Grenada,55.5239298806533,Domestic credit to private sector by banks (% of GDP),1997
Grenada,5.01549460936745,GDP growth (annual %),1997
Grenada,11.235978994624801,Lending interest rate (%),1997
Grenada,9.285551858448331,Real interest rate (%),1997
Guam,,Bank nonperforming loans to total gross loans (%),1997
Guam,,Domestic credit to private sector by banks (% of GDP),1997
Guam,,GDP growth (annual %),1997
Guam,,Lending interest rate (%),1997
Guam,,Real interest rate (%),1997
Guatemala,,Bank nonperforming loans to total gross loans (%),1997
Guatemala,18.533024207955197,Domestic credit to private sector by banks (% of GDP),1997
Guatemala,4.36408991511553,GDP growth (annual %),1997
